arr_size,avg_partition_size
100,47.0000
200,91.3000
300,139.9000
400,193.3000
500,245.0000
600,283.1000
700,325.6000
800,314.5000
900,440.4000
1000,467.7000
1100,527.8000
1200,571.6000
1300,646.8000
1400,667.2000
1500,738.4000
1600,787.3000
1700,818.6000
1800,889.5000
1900,901.9000
2000,957.3000
2100,986.2000
2200,1068.2000
2300,1085.2000
2400,1171.0000
2500,1206.5000
2600,1276.6000
2700,1354.6000
2800,1378.0000
2900,1421.3000
3000,1485.9000
3100,1564.3000
3200,1490.7000
3300,1417.5000
3400,1589.1000
3500,1689.2000
3600,1712.8000
3700,1813.5000
3800,1507.3000
3900,1827.9000
4000,1787.2000
4100,1892.0000
4200,2009.0000
4300,2076.8000
4400,2100.6001
4500,2198.2000
4600,2206.5000
4700,2282.3000
4800,2319.3000
4900,2422.3000
5000,2416.6001
5100,2422.6001
5200,2430.3999
5300,2466.0000
5400,2567.5000
5500,2635.6001
5600,2730.6001
5700,2724.2000
5800,2797.0000
5900,2865.3999
6000,2925.3999
6100,2966.2000
6200,3016.7000
6300,3094.8999
6400,3144.7000
6500,3195.7000
6600,3238.8000
6700,3314.7000
6800,3407.6001
6900,3344.8000
7000,3455.7000
7100,3440.7000
7200,3478.3999
7300,3528.2000
7400,3655.7000
7500,3647.7000
7600,3803.6001
7700,3746.1001
7800,3814.0000
7900,3852.8999
8000,3952.3999
8100,3961.3000
8200,4039.5000
8300,4080.1001
8400,4094.7000
8500,4158.2998
8600,4134.2002
8700,4252.6001
8800,4355.7998
8900,4387.2002
9000,4451.8999
9100,4515.2002
9200,4546.6001
9300,4589.5000
9400,4550.0000
9500,4635.7002
9600,4667.6001
9700,4729.0000
9800,4752.7998
9900,4792.1001
10000,4841.5000
10100,4921.7998
10200,4931.5000
10300,4971.1001
10400,5032.7998
10500,5040.2002
10600,5149.8999
10700,5116.7998
10800,5206.3999
10900,5398.6001
11000,5333.2002
11100,5371.2002
11200,5475.2998
11300,5502.8999
11400,5497.2998
11500,5585.6001
11600,5651.5000
11700,5643.2002
11800,5698.2998
11900,5827.7998
12000,5847.6001
12100,5904.1001
12200,5929.5000
12300,6082.1001
12400,6109.5000
12500,6049.6001
12600,6208.2002
12700,6257.3999
12800,6312.1001
12900,6371.2998
13000,6359.6001
13100,6515.7998
13200,6522.8999
13300,6488.2002
13400,6553.1001
13500,6654.5000
13600,6668.3999
13700,6707.1001
13800,6773.3999
13900,6866.2998
14000,6959.6001
14100,6951.3999
14200,7056.2998
14300,7079.2998
14400,7169.5000
14500,7167.1001
14600,7145.2002
14700,7286.3999
14800,7324.2002
14900,7416.2002
15000,7362.7998
15100,7472.8999
15200,7486.7002
15300,7613.7002
15400,7552.3999
15500,7666.2002
15600,7620.1001
15700,7009.7998
15800,6147.7002
15900,7541.0000
16000,7942.2998
16100,7669.7998
16200,7759.3999
16300,7115.7002
16400,7237.2998
16500,7755.7002
16600,7821.6001
16700,7652.0000
16800,8057.5000
16900,8105.8999
17000,8317.7002
17100,8148.1001
17200,8419.5000
17300,8331.9004
17400,8413.0000
17500,8563.7002
17600,8372.0996
17700,8427.0996
17800,8612.0996
17900,8688.7998
18000,8718.0996
18100,8671.5996
18200,8990.2998
18300,8847.5996
18400,8911.5996
18500,8972.2998
18600,8988.5996
18700,9066.7002
18800,6863.7002
18900,8381.0000
19000,8824.4004
19100,9075.5996
19200,8982.2998
19300,8980.0996
19400,8036.3999
19500,9075.7998
19600,8172.7998
19700,9037.4004
19800,8790.0996
19900,9134.5996
20000,9378.2002
20100,9529.4004
20200,9644.2002
20300,9683.4004
20400,9443.9004
20500,9758.2998
20600,9766.0000
20700,9650.5996
20800,9658.0000
20900,9703.5000
21000,9944.7002
21100,9820.7002
21200,9984.2998
21300,10038.7998
21400,10293.4004
21500,10133.0996
21600,10430.2998
21700,10317.0000
21800,10454.4004
21900,10711.2002
22000,10669.2998
22100,10692.5996
22200,10778.5996
22300,10862.7998
22400,10983.0000
22500,11090.2998
22600,10926.9004
22700,10909.2998
22800,11029.5000
22900,11081.7998
23000,11305.7002
23100,11367.0996
23200,11337.5996
23300,11230.0996
23400,11427.7998
23500,11410.5996
23600,11522.0000
23700,11668.5000
23800,11638.0000
23900,11611.7998
24000,11715.4004
24100,11753.5000
24200,11894.5996
24300,11861.9004
24400,11950.7998
24500,11900.2998
24600,11985.9004
24700,12047.5000
24800,12192.2998
24900,12113.7998
25000,12202.4004
25100,12205.2998
25200,12453.5000
25300,12149.2002
25400,12217.0000
25500,12321.7002
25600,12269.5996
25700,12317.5996
25800,12432.5996
25900,12546.2002
26000,12696.9004
26100,12632.7002
26200,12656.7998
26300,12646.4004
26400,12681.7998
26500,12918.0996
26600,12924.7002
26700,12929.2998
26800,13024.2002
26900,13066.5000
27000,13061.0996
27100,13060.5996
27200,13115.5000
27300,13311.7998
27400,13137.7002
27500,13335.4004
27600,13431.7002
27700,13304.0000
27800,13626.5996
27900,13496.0996
28000,13554.2002
28100,13564.9004
28200,13624.2002
28300,13791.7002
28400,13803.4004
28500,14024.5996
28600,13980.0000
28700,14090.0996
28800,14020.5996
28900,14097.5000
29000,14132.5996
29100,14145.0996
29200,14170.9004
29300,14279.9004
29400,14511.5000
29500,14398.4004
29600,14399.9004
29700,14551.0996
29800,14604.4004
29900,14609.7998
30000,14758.2998
30100,14647.7002
30200,14834.7998
30300,14784.4004
30400,14704.7002
30500,15003.7998
30600,14786.5000
30700,15073.9004
30800,15052.7002
30900,15176.9004
31000,15095.5996
31100,15144.2998
31200,15337.0000
31300,15369.7002
31400,15516.2998
31500,15607.4004
31600,15632.2998
31700,15628.0000
31800,15647.2998
31900,15953.4004
32000,15823.9004
32100,15771.9004
32200,15921.7002
32300,15852.0996
32400,15951.2002
32500,15900.0000
32600,16155.5996
32700,16261.9004
32800,16158.2002
32900,16291.4004
33000,16303.4004
33100,16326.2002
33200,16271.4004
33300,16317.9004
33400,16490.3008
33500,16546.5000
33600,16583.5996
33700,16514.4004
33800,16654.0996
33900,16815.0996
34000,16706.8008
34100,16937.8008
34200,16951.4004
34300,16922.0000
34400,16917.4004
34500,16959.6992
34600,17028.4004
34700,17125.0996
34800,17027.0996
34900,16994.8008
35000,17113.8008
35100,17396.3008
35200,17267.5000
35300,17299.5000
35400,17547.8008
35500,17353.5996
35600,17410.0000
35700,17591.5000
35800,17543.3008
35900,17797.5000
36000,17868.6992
36100,17751.4004
36200,17639.5996
36300,17880.8008
36400,17875.9004
36500,18066.3008
36600,18024.6992
36700,17920.1992
36800,18013.9004
36900,18109.5996
37000,18240.1992
37100,18427.4004
37200,18396.3008
37300,18422.6992
37400,18337.1992
37500,18576.9004
37600,18648.5000
37700,18636.0000
37800,18717.6992
37900,18757.4004
38000,18867.8008
38100,18891.1992
38200,18771.5000
38300,18859.0000
38400,19043.9004
38500,19067.9004
38600,18928.4004
38700,19132.1992
38800,19131.5996
38900,19188.5996
39000,19193.9004
39100,19391.0996
39200,19615.3008
39300,19422.4004
39400,19431.0996
39500,19570.1992
39600,19568.5000
39700,19624.0996
39800,19614.6992
39900,19714.4004
40000,19777.5996
40100,19840.9004
40200,19970.1992
40300,19781.1992
40400,20119.5996
40500,19918.6992
40600,20027.5996
40700,20141.4004
40800,19981.0000
40900,20146.0996
41000,20246.5000
41100,20161.5000
41200,20305.9004
41300,20286.0996
41400,20382.5996
41500,20394.0000
41600,20513.0000
41700,20650.6992
41800,20692.8008
41900,20644.9004
42000,20811.5000
42100,20842.8008
42200,20769.9004
42300,20760.4004
42400,20929.8008
42500,21081.9004
42600,20925.0000
42700,20949.3008
42800,21051.9004
42900,21156.8008
43000,21205.3008
43100,21173.0996
43200,21393.9004
43300,21253.4004
43400,21308.4004
43500,21453.4004
43600,21511.5000
43700,21470.8008
43800,21778.4004
43900,21588.5000
44000,21496.5000
44100,21881.0000
44200,21859.9004
44300,21981.6992
44400,22018.4004
44500,22126.4004
44600,21980.3008
44700,22009.3008
44800,21940.4004
44900,22141.6992
45000,22286.5996
45100,22178.9004
45200,22309.1992
45300,22550.0996
45400,22457.6992
45500,22477.1992
45600,22571.3008
45700,22621.0996
45800,22745.6992
45900,22665.0000
46000,22741.0000
46100,22757.6992
46200,22769.5996
46300,22760.4004
46400,22997.0000
46500,23168.6992
46600,23132.9004
46700,23103.8008
46800,23069.3008
46900,22842.6992
47000,23002.0000
47100,22993.8008
47200,23233.4004
47300,23256.0996
47400,23335.5996
47500,23503.1992
47600,23135.6992
47700,23371.4004
47800,23722.0000
47900,23593.0000
48000,23494.6992
48100,23516.6992
48200,23739.0000
48300,23637.5996
48400,23739.3008
48500,23921.3008
48600,23884.4004
48700,23786.4004
48800,24033.9004
48900,23864.5000
49000,23934.5000
49100,24292.5000
49200,24077.4004
49300,24240.0996
49400,24357.6992
49500,24435.0996
49600,24397.4004
49700,24577.9004
49800,24564.6992
49900,24593.5000
50000,24599.0996
