arr_size,avg_partition_size
100,42.0000
200,90.2000
300,126.5000
400,157.9000
500,235.0000
600,256.9000
700,325.1000
800,344.4000
900,418.1000
1000,274.9000
1100,365.8000
1200,523.7000
1300,548.6000
1400,630.3000
1500,709.1000
1600,745.8000
1700,814.1000
1800,818.1000
1900,910.0000
2000,946.0000
2100,971.8000
2200,691.6000
2300,563.4000
2400,1087.2000
2500,1177.7000
2600,1197.8000
2700,1294.1000
2800,1263.5000
2900,1306.4000
3000,1067.3000
3100,1378.3000
3200,623.5000
3300,1314.0000
3400,1454.0000
3500,1498.7000
3600,1554.2000
3700,1743.8000
3800,1781.1000
3900,1789.0000
4000,1825.7000
4100,1912.4000
4200,1917.1000
4300,1958.0000
4400,2062.3999
4500,2100.8999
4600,2198.7000
4700,2178.8999
4800,2245.6001
4900,2308.1001
5000,2355.6001
5100,2454.3999
5200,2419.8999
5300,2484.2000
5400,2576.2000
5500,2649.3000
5600,2637.1001
5700,2700.3999
5800,2804.3000
5900,2809.6001
6000,2934.1001
6100,2878.7000
6200,2877.8999
6300,2936.7000
6400,3094.1001
6500,3144.8000
6600,2086.0000
6700,2537.8000
6800,3178.3999
6900,2326.8000
7000,2861.7000
7100,3273.6001
7200,3219.8999
7300,1791.4000
7400,1812.8000
7500,3281.2000
7600,3044.2000
7700,3150.8999
7800,3548.3999
7900,3461.7000
8000,3428.8000
8100,3647.7000
8200,3861.5000
8300,3748.6001
8400,3947.1001
8500,3835.6001
8600,3901.1001
8700,3954.6001
8800,3610.8999
8900,3621.3000
9000,4083.3999
9100,2992.6001
9200,4160.6001
9300,4051.0000
9400,4291.8999
9500,3818.8000
9600,2649.6001
9700,4385.8999
9800,3824.2000
9900,3899.0000
10000,4255.0000
10100,4360.7002
10200,4517.2002
10300,4662.7002
10400,4699.2998
10500,4848.0000
10600,4751.8999
10700,4921.2002
10800,5000.2002
10900,4954.2998
11000,5155.6001
11100,5222.1001
11200,5278.7998
11300,5269.5000
11400,5308.3999
11500,5428.7998
11600,5452.0000
11700,5505.7002
11800,5483.7002
11900,5558.5000
12000,5625.7998
12100,5656.7998
12200,5760.0000
12300,5659.5000
12400,5781.1001
12500,5855.7998
12600,5908.0000
12700,6085.1001
12800,5864.0000
12900,6056.7002
13000,6083.7998
13100,6209.8999
13200,6383.5000
13300,6315.6001
13400,6261.8999
13500,6288.7998
13600,6465.0000
13700,6480.3999
13800,6656.6001
13900,6618.7998
14000,6691.0000
14100,6702.5000
14200,6675.2998
14300,6677.7998
14400,6836.7002
14500,6823.6001
14600,6996.5000
14700,6862.2998
14800,7041.8999
14900,7071.7002
15000,7171.2002
15100,7195.2002
15200,7225.0000
15300,7308.8999
15400,7372.1001
15500,7450.0000
15600,7488.3999
15700,7287.8999
15800,7487.7998
15900,7547.2998
16000,7656.8999
16100,7632.6001
16200,7682.0000
16300,7634.3999
16400,7859.5000
16500,7813.1001
16600,8016.3999
16700,7934.3999
16800,8059.8999
16900,8076.3999
17000,8125.7002
17100,8064.5000
17200,8155.7998
17300,8359.0996
17400,8302.0996
17500,8389.2998
17600,8389.0000
17700,8459.2002
17800,8496.2998
17900,8580.2998
18000,8618.5996
18100,8670.7002
18200,8745.0996
18300,8739.5996
18400,8733.7998
18500,8827.7998
18600,8785.4004
18700,8946.4004
18800,9035.5996
18900,8959.4004
19000,9131.7002
19100,9040.7002
19200,9216.0996
19300,9235.9004
19400,9254.0000
19500,9306.7998
19600,9321.7002
19700,7646.2002
19800,7397.7002
19900,9006.4004
20000,7934.5000
20100,9066.7998
20200,9238.7002
20300,9254.5996
20400,9520.7002
20500,7014.1001
20600,8771.2002
20700,6717.7002
20800,8605.4004
20900,9162.0996
21000,9342.4004
21100,9449.2002
21200,10121.7998
21300,9804.5000
21400,9842.9004
21500,9942.2998
21600,9948.5996
21700,10096.0996
21800,10279.2998
21900,7763.8999
22000,8384.0996
22100,9721.2002
22200,6987.2002
22300,9602.2998
22400,9946.7002
22500,10469.5000
22600,5882.5000
22700,9136.7002
22800,9890.9004
22900,8550.5996
23000,9316.5000
23100,10710.0000
23200,10054.4004
23300,10273.2002
23400,10600.7998
23500,10303.7002
23600,10868.5000
23700,10821.4004
23800,10905.7998
23900,10924.7002
24000,11048.7002
24100,11360.0996
24200,11489.0000
24300,11614.5996
24400,11232.5996
24500,11402.9004
24600,11644.2998
24700,11597.0000
24800,11413.4004
24900,11470.2002
25000,11881.4004
25100,11342.0996
25200,11861.7998
25300,11780.9004
25400,11703.0000
25500,12001.5996
25600,11914.4004
25700,12011.2998
25800,12047.2998
25900,12231.2998
26000,12208.2998
26100,12477.7998
26200,12305.0000
26300,10892.5000
26400,10789.2998
26500,7421.8999
26600,4637.2002
26700,11181.2002
26800,12394.0996
26900,11826.4004
27000,11431.0996
27100,11028.0996
27200,12144.0996
27300,9210.2998
27400,11716.2998
27500,12669.7002
27600,11901.5996
27700,12417.0000
27800,11836.5000
27900,12605.7002
28000,13070.7998
28100,12821.0996
28200,13254.5000
28300,12544.2002
28400,13193.2998
28500,12191.4004
28600,12829.7002
28700,11618.0996
28800,9822.2998
28900,12364.0000
29000,12881.0996
29100,13352.7998
29200,8479.2998
29300,11658.2998
29400,12938.4004
29500,10822.7002
29600,13019.0996
29700,12900.4004
29800,13636.5000
29900,13003.5000
30000,13569.9004
30100,14036.4004
30200,13804.4004
30300,13879.2002
30400,14066.5000
30500,14229.0000
30600,13989.4004
30700,14424.9004
30800,14466.7998
30900,13999.5996
31000,14623.2002
31100,14492.5996
31200,14239.5996
31300,14177.9004
31400,14619.0000
31500,14417.0000
31600,14648.5996
31700,14812.2002
31800,14516.5000
31900,14952.2002
32000,14869.7998
32100,15219.0000
32200,15001.9004
32300,15072.2002
32400,15200.5000
32500,15138.2998
32600,15309.4004
32700,15219.7002
32800,15155.2002
32900,15583.2998
33000,15549.7998
33100,15710.2998
33200,15618.7998
33300,15790.0000
33400,15873.9004
33500,16036.2998
33600,15921.9004
33700,15664.7998
33800,16133.7002
33900,15938.7002
34000,15984.0000
34100,15989.7002
34200,16249.5000
34300,16255.2002
34400,16332.5996
34500,16506.8008
34600,16129.5000
34700,16549.9004
34800,16634.9004
34900,16566.3008
35000,16486.6992
35100,16465.6992
35200,16808.0000
35300,16428.8008
35400,16610.5000
35500,16844.1992
35600,16674.6992
35700,17097.6992
35800,17025.0996
35900,17035.9004
36000,16894.3008
36100,16915.1992
36200,17016.5996
36300,16759.6992
36400,17392.3008
36500,17474.3008
36600,17499.9004
36700,17540.3008
36800,17124.9004
36900,17645.5996
37000,17418.0000
37100,17593.8008
37200,17661.0996
37300,17713.1992
37400,17901.3008
37500,17794.5000
37600,17928.6992
37700,17861.5000
37800,18083.6992
37900,18119.5996
38000,18187.8008
38100,18242.5000
38200,18302.6992
38300,18367.0000
38400,18205.8008
38500,18399.3008
38600,18470.3008
38700,18356.4004
38800,18572.8008
38900,18640.5996
39000,18659.1992
39100,18771.5996
39200,18776.3008
39300,18478.9004
39400,18879.8008
39500,18544.6992
39600,18942.3008
39700,19006.6992
39800,18892.5000
39900,19096.1992
40000,19131.5000
40100,19228.0000
40200,19216.8008
40300,19270.1992
40400,19157.5000
40500,19366.6992
40600,19410.6992
40700,19466.9004
40800,19347.6992
40900,19653.0996
41000,19627.9004
41100,19647.0000
41200,19719.0000
41300,19760.0000
41400,19851.0996
41500,19863.4004
41600,19771.0996
41700,19976.6992
41800,19971.0000
41900,19906.1992
42000,19918.1992
42100,20153.9004
42200,20129.1992
42300,20064.8008
42400,20100.5996
42500,19942.6992
42600,20421.0996
42700,20322.0000
42800,20433.0000
42900,20537.0000
43000,20611.3008
43100,20622.3008
43200,20712.0996
43300,20725.6992
43400,20793.5996
43500,20826.0996
43600,20846.1992
43700,20951.1992
43800,20982.1992
43900,21047.6992
44000,21076.1992
44100,21041.8008
44200,21158.1992
44300,21201.0000
44400,21278.0996
44500,21290.6992
44600,21323.5996
44700,21430.8008
44800,21240.4004
44900,21506.3008
45000,21554.3008
45100,21652.5000
45200,21664.9004
45300,21674.0996
45400,21785.5996
45500,21825.1992
45600,21839.4004
45700,21865.1992
45800,21862.0000
45900,21926.1992
46000,22027.5996
46100,21984.6992
46200,22118.0996
46300,22167.3008
46400,22234.4004
46500,22238.1992
46600,22321.1992
46700,22357.3008
46800,22186.8008
46900,22421.4004
47000,22287.6992
47100,22591.5000
47200,22604.5996
47300,22651.8008
47400,22678.9004
47500,22786.0996
47600,22803.1992
47700,22874.9004
47800,22834.9004
47900,22869.3008
48000,22929.5996
48100,23055.5996
48200,22691.5000
48300,23056.9004
48400,22994.5000
48500,23217.6992
48600,23265.3008
48700,23143.3008
48800,23331.3008
48900,23444.9004
49000,23458.1992
49100,23519.3008
49200,23521.6992
49300,23621.3008
49400,23642.5000
49500,23486.1992
49600,23716.0000
49700,23620.0996
49800,23825.3008
49900,23942.4004
50000,23944.8008
