arr_size,avg_partition_size
100,44.6000
200,90.0000
300,132.9000
400,176.1000
500,228.6000
600,283.6000
700,324.5000
800,322.7000
900,426.4000
1000,468.4000
1100,483.3000
1200,570.2000
1300,596.6000
1400,630.7000
1500,719.9000
1600,762.4000
1700,824.0000
1800,864.8000
1900,912.5000
2000,921.3000
2100,958.7000
2200,1045.7000
2300,1052.3000
2400,1096.1000
2500,1170.1000
2600,1259.7000
2700,1282.3000
2800,1316.1000
2900,1376.8000
3000,1437.2000
3100,1489.0000
3200,1447.5000
3300,1329.8000
3400,1604.3000
3500,1587.9000
3600,1594.9000
3700,1754.5000
3800,1625.2000
3900,1643.2000
4000,1694.8000
4100,1797.5000
4200,1889.2000
4300,1937.3000
4400,2064.8000
4500,2117.8999
4600,2115.8000
4700,2202.8000
4800,2174.8000
4900,2331.8999
5000,2372.8999
5100,2356.0000
5200,2315.0000
5300,2472.0000
5400,2461.8999
5500,2527.7000
5600,2536.3000
5700,2682.6001
5800,2721.8999
5900,2792.7000
6000,2811.5000
6100,2869.5000
6200,2916.7000
6300,2998.8999
6400,2971.0000
6500,3078.3999
6600,3137.0000
6700,3256.6001
6800,3240.0000
6900,3300.5000
7000,3356.0000
7100,3370.7000
7200,3383.0000
7300,3415.2000
7400,3521.2000
7500,3599.2000
7600,3676.2000
7700,3702.5000
7800,3677.7000
7900,3741.7000
8000,3850.3999
8100,3872.1001
8200,3878.7000
8300,3996.1001
8400,3953.8000
8500,3989.3999
8600,4067.3999
8700,4146.5000
8800,4196.8999
8900,4217.2998
9000,4305.6001
9100,4322.7998
9200,4395.5000
9300,4424.2998
9400,4379.7002
9500,4493.1001
9600,4526.2002
9700,4574.7002
9800,4614.7998
9900,4693.5000
10000,4734.7002
10100,4758.5000
10200,4733.1001
10300,4845.5000
10400,4969.8999
10500,4935.3999
10600,4940.8999
10700,5109.1001
10800,5119.7002
10900,5232.3999
11000,5271.7002
11100,5313.1001
11200,5301.8999
11300,5341.8999
11400,5416.8999
