arr_size,avg_partition_size
100,39.5000
200,95.3000
300,138.4000
400,172.1000
500,228.0000
600,277.6000
700,341.0000
800,355.9000
900,408.6000
1000,292.0000
1100,381.3000
1200,550.8000
1300,605.9000
1400,686.9000
1500,708.3000
1600,770.8000
1700,855.6000
1800,875.6000
1900,922.1000
2000,973.7000
2100,1042.2000
2200,520.7000
2300,648.0000
2400,1120.1000
2500,1119.6000
2600,1158.5000
2700,1279.5000
2800,1259.3000
2900,1377.0000
3000,1345.9000
3100,1462.7000
3200,600.0000
3300,1393.5000
3400,1535.2000
3500,1521.7000
3600,1681.2000
3700,1747.5000
3800,1806.1000
3900,1842.5000
4000,1833.2000
4100,1966.7000
4200,2034.4000
4300,2066.1001
4400,2176.5000
4500,2203.2000
4600,2273.8000
4700,2288.5000
4800,2338.6001
4900,2374.8999
5000,2472.2000
5100,2549.8000
5200,2547.5000
5300,2568.8999
5400,2643.5000
5500,2672.0000
5600,2714.0000
5700,2770.7000
5800,2836.0000
5900,2930.7000
6000,2870.6001
6100,2955.6001
6200,3075.1001
6300,3154.8999
6400,3165.3000
6500,3200.8000
6600,2305.3999
6700,3055.2000
6800,3270.2000
6900,1704.9000
7000,3189.5000
7100,3382.0000
7200,3498.8000
7300,2642.6001
7400,1918.0000
7500,3506.3000
7600,3399.6001
7700,3186.2000
7800,3551.0000
7900,3462.1001
8000,3785.3999
8100,3928.7000
8200,3959.8999
8300,3945.7000
8400,4001.3999
8500,4089.8000
8600,4204.7998
8700,4236.2998
8800,3318.3999
8900,3862.6001
9000,3907.1001
9100,3116.2000
9200,4050.5000
9300,4357.5000
9400,4376.0000
9500,3943.3000
9600,3217.6001
9700,4446.6001
9800,4305.6001
9900,4091.7000
10000,4547.1001
10100,4635.1001
10200,4776.2002
10300,4704.6001
10400,4990.1001
10500,4891.2002
10600,4913.7998
10700,5112.2002
10800,5161.2002
10900,5107.8999
11000,5324.3999
11100,5370.7002
11200,5369.1001
11300,5403.8999
11400,5473.8999
11500,5632.2002
11600,5599.1001
11700,5639.6001
11800,5774.2002
11900,5742.7002
12000,5837.2998
12100,5807.7998
12200,5881.3999
12300,5918.5000
12400,5959.6001
12500,6036.8999
12600,6116.2002
12700,6199.3999
12800,6219.6001
12900,6249.0000
13000,6232.0000
13100,6348.2998
13200,6450.8999
13300,6439.3999
13400,6561.5000
13500,6534.8999
13600,6635.8999
13700,6716.6001
13800,6817.2998
13900,6835.7002
14000,6848.6001
14100,6845.0000
14200,6912.6001
14300,6945.8999
14400,7084.3999
14500,7184.2002
14600,7217.1001
14700,7248.2998
14800,7313.7998
14900,7390.0000
15000,7342.0000
15100,7440.7998
15200,7450.7998
15300,7559.8999
15400,7466.3999
15500,7594.7002
15600,7662.7002
15700,7545.6001
15800,7743.0000
15900,7756.6001
16000,7918.6001
16100,7930.2002
16200,7934.3999
16300,7944.2998
16400,7934.8999
16500,7961.1001
16600,8087.2998
16700,8089.5000
16800,8212.7998
16900,8283.0996
17000,8366.9004
17100,8403.7998
17200,8356.2998
17300,8550.0996
17400,8540.2002
17500,8647.5000
17600,8682.7998
17700,8690.0996
17800,8773.2998
17900,8898.9004
18000,8838.5000
18100,8948.9004
18200,9022.2002
18300,8836.0000
18400,8998.4004
18500,9054.0000
18600,9150.5000
18700,9208.5000
18800,9310.0996
18900,9349.7002
19000,9491.2998
19100,9413.4004
19200,9585.4004
19300,9568.2998
19400,9518.4004
19500,9729.7998
19600,9764.5996
19700,6435.2002
19800,8041.2998
19900,8791.7002
20000,8826.7002
20100,8259.9004
20200,9211.2998
20300,9399.7002
20400,9661.0996
20500,7310.2998
20600,9417.2998
20700,6583.8999
20800,8840.7002
20900,9579.2002
21000,9707.2998
21100,9660.4004
21200,9709.5000
21300,10037.4004
21400,10148.9004
21500,10013.2998
21600,10442.5000
21700,10311.4004
21800,10484.7002
21900,8184.7998
22000,7199.7998
22100,10223.9004
22200,7840.2002
22300,10358.2002
22400,10522.9004
22500,10722.7998
22600,7196.3999
22700,9263.5996
22800,10410.7002
22900,10014.5000
23000,10150.2998
23100,10730.4004
23200,10577.5996
23300,10919.2002
23400,11132.2998
23500,11063.4004
23600,11042.4004
23700,11030.9004
23800,11226.4004
23900,11434.7002
24000,11359.7998
24100,11370.5000
24200,11629.0996
24300,11734.2998
24400,11716.2998
24500,11553.2002
24600,11912.2002
24700,12017.9004
24800,11864.7998
24900,11567.2002
25000,12139.7998
25100,12230.7002
25200,12011.5996
25300,12071.2998
25400,12416.5996
25500,12478.4004
25600,12436.2998
25700,12454.5000
25800,12414.4004
25900,12680.4004
26000,12648.2002
26100,12630.2998
26200,12735.9004
26300,11184.2998
26400,11103.4004
26500,6274.2002
26600,5629.2998
26700,11918.0996
26800,12834.2002
26900,12759.7998
27000,12132.9004
27100,11574.7002
27200,11933.2002
27300,10418.0000
27400,12473.7002
27500,12975.7998
27600,12552.7002
27700,12803.4004
27800,13128.4004
27900,13322.9004
28000,13180.2002
28100,13303.2002
28200,13454.0996
28300,13429.0996
28400,13672.0996
28500,11773.5000
28600,12817.9004
28700,11742.0000
28800,10130.9004
28900,12774.4004
29000,13524.4004
29100,13679.2002
29200,5485.7998
29300,11396.2002
29400,13229.5996
29500,9803.2998
29600,13095.0000
29700,13775.0996
29800,13170.2002
29900,14007.2002
30000,14068.5000
30100,14084.0000
30200,13978.0000
30300,14336.2998
30400,14242.7002
30500,14423.7998
30600,14494.5996
30700,14584.7998
30800,14937.0996
30900,14273.4004
31000,14609.2998
31100,15086.0996
31200,14940.0000
31300,15125.5000
31400,14664.2002
31500,15014.5996
31600,14856.2998
31700,15163.2998
31800,15047.2998
31900,15313.4004
32000,15330.7998
32100,15414.5000
32200,15321.5996
32300,15322.2998
32400,15561.4004
32500,15656.7998
32600,15647.7002
32700,15512.2002
32800,15758.0000
32900,15739.2998
33000,16203.7002
33100,16198.9004
33200,16124.5000
33300,16288.0996
33400,16260.2998
33500,16401.5000
33600,16193.5000
33700,16334.2002
33800,16355.5000
33900,16505.4004
34000,16434.5000
34100,16662.6992
34200,16502.9004
34300,16764.4004
34400,16809.0996
34500,16827.4004
34600,16970.6992
34700,16955.0000
34800,16960.6992
34900,17054.9004
35000,16905.0996
35100,16998.5996
35200,16901.6992
35300,16877.5000
35400,17191.0000
35500,17278.9004
35600,17301.8008
35700,17272.0000
35800,17546.9004
35900,17396.0996
36000,17150.5000
36100,17491.4004
36200,17506.5996
36300,17676.5996
36400,17619.4004
36500,17903.0996
36600,17797.3008
36700,17806.4004
36800,17912.8008
36900,17953.0996
37000,18051.9004
37100,18164.6992
37200,18320.5000
37300,18187.3008
37400,18355.5996
37500,18218.9004
37600,18512.5996
37700,18460.9004
37800,18772.9004
37900,18621.8008
38000,18395.1992
38100,18761.0000
38200,18486.5000
38300,18567.4004
38400,18404.8008
38500,18937.6992
38600,18884.0996
38700,18985.5996
38800,18940.8008
38900,19031.6992
39000,19148.6992
39100,19188.5996
39200,19169.6992
39300,19094.5000
39400,19319.0996
39500,19579.5996
39600,19643.6992
39700,19336.9004
39800,19487.8008
39900,19722.0000
40000,19892.5996
40100,19656.1992
40200,19722.1992
40300,19806.0996
40400,19769.9004
40500,19634.8008
40600,20051.3008
40700,20063.0000
40800,19966.6992
40900,20292.0996
41000,20331.5996
41100,20290.0996
41200,20499.0996
41300,20494.0996
41400,20438.0996
41500,20760.5000
41600,20579.9004
41700,20584.1992
41800,20487.6992
41900,20494.4004
42000,20764.1992
42100,20729.8008
42200,20719.5996
42300,20527.0000
42400,20791.4004
42500,20754.8008
42600,20816.5000
42700,20886.5000
42800,21018.0996
42900,21167.0000
43000,21078.3008
43100,21021.0996
43200,21497.3008
43300,21316.9004
43400,21373.9004
43500,21459.5000
43600,21114.0996
43700,21448.6992
43800,21589.4004
43900,21661.9004
44000,21743.1992
44100,21712.6992
44200,21832.8008
44300,22023.0000
44400,21979.3008
44500,21943.6992
44600,21994.1992
44700,22006.4004
44800,22335.4004
44900,22260.3008
45000,22178.3008
45100,22330.5996
45200,22457.6992
45300,22649.5996
45400,22347.5996
45500,22314.0000
45600,22538.1992
45700,22726.3008
45800,22640.1992
45900,22612.0000
46000,22600.0000
46100,22608.8008
46200,22832.5996
46300,22863.0000
46400,22855.5996
46500,22624.6992
46600,22915.3008
46700,22906.4004
46800,22801.3008
46900,23165.0996
47000,23015.5996
47100,23022.5000
47200,23139.4004
47300,22822.8008
47400,23410.6992
47500,23214.6992
47600,23525.5996
47700,23483.1992
47800,23477.0996
47900,23806.3008
48000,23606.6992
48100,23779.0996
48200,23372.9004
48300,23472.1992
48400,23727.0996
48500,23757.5996
48600,23817.6992
48700,23962.1992
48800,23989.5000
48900,23894.1992
49000,24277.9004
49100,23934.6992
49200,23842.4004
49300,23884.6992
49400,24270.3008
49500,24208.8008
49600,24189.3008
49700,24385.5000
49800,24604.9004
49900,24645.8008
50000,24356.3008
