arr_size,avg_partition_size
35800,17820.5996
35900,17712.4004
36000,17742.8008
36100,17772.1992
36200,17854.5996
36300,17892.3008
36400,17843.4004
36500,17964.5996
36600,17841.5000
36700,18031.8008
36800,18063.8008
36900,18101.9004
37000,18086.0000
37100,18369.0000
37200,18310.1992
37300,18373.5000
37400,18512.0000
37500,18384.6992
37600,18496.9004
37700,18553.5000
37800,18584.9004
37900,18750.4004
38000,18547.0996
38100,18822.3008
38200,18832.0000
38300,18855.1992
38400,18827.0996
38500,18970.5000
38600,19151.0000
38700,19149.8008
38800,19197.3008
38900,19306.5996
39000,19304.5000
39100,19427.5996
39200,19419.0000
39300,19412.8008
39400,19490.0000
39500,19479.0996
39600,19678.1992
39700,19714.8008
39800,19830.9004
39900,19846.6992
40000,19786.4004
40100,19727.3008
40200,19877.6992
40300,19965.0000
40400,19887.3008
40500,20101.9004
40600,20036.1992
40700,20093.6992
40800,20367.0000
40900,20132.3008
41000,20282.4004
41100,20225.1992
41200,20174.4004
41300,20315.5000
41400,20430.9004
41500,20405.0996
41600,20571.3008
41700,20729.1992
41800,20495.9004
41900,20754.6992
42000,20674.0996
42100,20739.0996
42200,20736.3008
42300,20980.9004
42400,20992.6992
42500,20974.3008
42600,21045.4004
42700,21005.6992
42800,20941.5000
42900,21205.3008
43000,21223.9004
43100,21272.5996
43200,21182.0996
43300,21427.4004
43400,21406.1992
43500,21665.9004
43600,21628.4004
43700,21548.9004
43800,21717.5000
43900,21786.4004
44000,21775.4004
44100,21786.1992
44200,21906.9004
44300,21891.6992
44400,21852.5000
44500,22113.4004
44600,22007.5000
44700,22202.3008
44800,22083.8008
44900,22224.1992
45000,22328.0996
45100,22319.0000
45200,22384.9004
45300,22454.6992
45400,22447.4004
45500,22508.4004
45600,22674.0000
45700,22421.8008
45800,22536.5996
45900,22614.4004
46000,22873.0996
46100,22599.6992
46200,22871.5000
46300,22888.1992
46400,22802.9004
46500,23046.3008
46600,23016.5996
46700,22992.9004
46800,23117.3008
46900,23102.9004
47000,23244.4004
47100,23223.0996
47200,23286.5000
47300,23559.0000
47400,23260.3008
47500,23354.5000
47600,23481.5000
47700,23626.6992
47800,23603.0000
47900,23585.8008
48000,23635.9004
48100,23766.0000
48200,23829.6992
48300,24148.8008
48400,23997.1992
48500,23913.4004
48600,24009.5000
48700,24049.4004
48800,24181.1992
48900,24113.4004
49000,24201.0000
49100,24351.4004
49200,24246.0996
49300,24415.5996
49400,24251.8008
49500,24468.3008
49600,24415.5996
49700,24560.6992
49800,24518.9004
49900,24739.9004
50000,24650.0000
