num,avg_comp,avg_time
2,2,0.0000
4,8,0.0000
8,24,0.0000
16,64,0.0000
32,160,0.0000
64,384,0.0000
128,896,0.0000
256,2048,0.0000
512,4608,0.0625
1024,10240,0.1250
2048,22528,0.5625
4096,49152,1.1250
8192,106496,2.1875
16384,229376,4.0625
32768,491520,8.2500
65536,1048576,16.3750
131072,2228224,35.8125
262144,4718592,69.5625
524288,9961472,143.1250
