num,avg_comp,avg_time
2,1,0.0000
4,3,0.0000
8,7,0.0000
16,15,0.0000
32,31,0.0000
64,63,0.1000
128,126,0.0000
256,253,0.0000
512,506,0.0000
1024,1013,0.4000
2048,2027,0.7000
4096,4055,1.2000
8192,8110,2.4000
16384,16284,10.8000
32768,32668,48.4000
65536,65436,224.0000
131072,130972,1045.4000
