num,avg_comp,avg_time
2,1,0.0000
4,3,0.0000
8,7,0.0000
16,15,0.0000
32,31,0.0000
64,63,0.0000
128,126,0.0000
256,253,0.2000
512,506,0.1000
1024,1014,0.5000
2048,2028,0.9000
4096,4058,2.2000
8192,8129,4.8000
16384,16319,29.5000
32768,32700,143.7000
65536,65465,713.0000
131072,131000,2759.5000
